run; test_dataset; aAcc; mIoU; mAcc
train_mask2former_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,7; cityscapes; 94,8300; 70,5300; 83,3000
train_mask2former_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,7; acdc_rain; 88,6100; 47,0600; 59,7700
train_mask2former_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,7; acdc_snow; 84,6400; 42,9300; 52,6500
train_mask2former_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,7; acdc_fog; 88,3700; 55,4800; 68,9400
train_mask2former_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,8; acdc_night; 53,1600; 21,9300; 36,9100
train_mask2former_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,8; dark_zurich; 50,8000; 21,9100; 35,4400
train_mask2former_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,8; cityscapes; 93,9500; 66,7100; 79,5100
train_mask2former_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,8; acdc_rain; 86,9500; 41,7100; 52,3400
train_mask2former_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,8; acdc_snow; 83,6900; 47,9300; 57,4400
train_mask2former_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,8; acdc_fog; 87,7600; 55,6800; 68,6600
train_mask2former_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,4; acdc_night; 64,5600; 28,9900; 43,1300
train_mask2former_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,4; dark_zurich; 61,1700; 26,8400; 39,4200
train_mask2former_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,4; cityscapes; 95,5200; 74,0600; 84,3700
train_mask2former_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,4; acdc_rain; 89,9300; 49,3400; 67,6700
train_mask2former_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,4; acdc_snow; 86,6800; 49,0600; 60,1400
train_mask2former_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,4; acdc_fog; 92,3600; 60,3300; 71,3700
