run; test_dataset; aAcc; mIoU; mAcc
train_deeplabv3plus_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,6; acdc_fog; 88,4800; 50,1100; 59,8300
train_deeplabv3plus_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,7; acdc_night; 53,6900; 17,9200; 28,9600
train_deeplabv3plus_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,7; dark_zurich; 48,3500; 16,1800; 28,8700
train_deeplabv3plus_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,7; cityscapes; 93,2200; 60,9400; 71,4200
train_deeplabv3plus_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,7; acdc_rain; 84,0100; 33,4900; 41,7600
train_deeplabv3plus_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,7; acdc_snow; 75,6700; 29,7800; 41,0600
train_deeplabv3plus_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,7; acdc_fog; 84,6600; 42,0400; 51,9600
train_deeplabv3plus_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,5; acdc_night; 57,6600; 21,1100; 32,7000
train_deeplabv3plus_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,5; dark_zurich; 53,8100; 19,9300; 32,2400
train_deeplabv3plus_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,5; cityscapes; 94,4800; 67,1400; 77,7100
train_deeplabv3plus_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,5; acdc_rain; 86,8400; 39,9200; 50,2000
train_deeplabv3plus_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,5; acdc_snow; 79,3900; 37,0000; 46,3600
train_deeplabv3plus_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,5; acdc_fog; 89,3200; 53,7300; 61,8400
train_deeplabv3plus_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,9; acdc_night; 47,2500; 16,3900; 24,6600
train_deeplabv3plus_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,9; dark_zurich; 45,7600; 15,8800; 26,1500
train_deeplabv3plus_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,9; cityscapes; 89,0800; 51,3200; 61,6400
train_deeplabv3plus_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,9; acdc_rain; 77,1900; 31,5400; 39,6300
train_deeplabv3plus_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,9; acdc_snow; 67,7600; 27,7500; 37,5400
train_deeplabv3plus_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,9; acdc_fog; 74,8200; 37,6900; 46,5600
train_deeplabv3plus_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,4; acdc_night; 59,9300; 21,1600; 36,0700
train_deeplabv3plus_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,4; dark_zurich; 56,8500; 20,0300; 36,7600
train_deeplabv3plus_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,4; cityscapes; 94,2800; 64,1900; 75,0100
train_deeplabv3plus_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,4; acdc_rain; 84,7900; 36,3000; 50,5500
train_deeplabv3plus_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,4; acdc_snow; 79,1300; 32,1000; 45,0600
train_deeplabv3plus_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,4; acdc_fog; 89,2500; 48,8000; 60,9500
train_deeplabv3plus_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,8; acdc_night; 54,0000; 18,9500; 28,3900
train_deeplabv3plus_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,8; dark_zurich; 50,2100; 16,8700; 27,3100
train_deeplabv3plus_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,8; cityscapes; 92,1700; 59,0900; 69,7800
train_deeplabv3plus_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,8; acdc_rain; 84,1500; 36,2200; 45,0800
train_deeplabv3plus_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,8; acdc_snow; 73,9600; 31,2300; 40,9600
train_deeplabv3plus_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,8; acdc_fog; 81,1300; 43,0200; 53,1300
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,9; acdc_night; 45,6100; 14,4400; 25,9100
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,9; dark_zurich; 43,2000; 13,3900; 24,7300
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,9; cityscapes; 88,8200; 50,9300; 62,7300
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,9; acdc_rain; 78,6600; 29,9800; 38,3700
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,9; acdc_snow; 74,8100; 27,3800; 36,1100
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,9; acdc_fog; 78,0300; 34,9500; 47,0800
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,7; acdc_night; 57,1900; 20,4800; 31,7800
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,7; dark_zurich; 53,3600; 19,1000; 31,7100
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,7; cityscapes; 93,6600; 61,0300; 71,2800
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,7; acdc_rain; 86,1300; 36,0700; 46,2900
