run; test_dataset; aAcc; mIoU; mAcc
train_mask2former_baseline_seed_42_depth_0_channel_3_sparsity_0,8; acdc_fog; 82,8800; 49,4400; 64,7800
train_mask2former_baseline_seed_42_depth_0_channel_3_sparsity_0,4; acdc_night; 59,8000; 23,2800; 32,3500
train_mask2former_baseline_seed_42_depth_0_channel_3_sparsity_0,4; dark_zurich; 56,6500; 20,8100; 31,0200
train_mask2former_baseline_seed_42_depth_0_channel_3_sparsity_0,4; cityscapes; 94,5100; 70,6000; 81,2800
train_mask2former_baseline_seed_42_depth_0_channel_3_sparsity_0,4; acdc_rain; 84,9800; 48,5600; 62,2900
train_mask2former_baseline_seed_42_depth_0_channel_3_sparsity_0,4; acdc_snow; 81,8700; 49,0300; 59,9700
train_mask2former_baseline_seed_42_depth_0_channel_3_sparsity_0,4; acdc_fog; 85,2700; 55,6900; 67,2200
train_mask2former_baseline_seed_42_depth_0_channel_3; acdc_night; 49,4800; 18,8700; 31,6300
train_mask2former_baseline_seed_42_depth_0_channel_3; dark_zurich; 43,0000; 17,4400; 27,2000
train_mask2former_baseline_seed_42_depth_0_channel_3; cityscapes; 96,0500; 77,8200; 87,0500
train_mask2former_baseline_seed_42_depth_0_channel_3; acdc_rain; 87,8500; 48,7500; 72,7300
train_mask2former_baseline_seed_42_depth_0_channel_3; acdc_snow; 80,0000; 50,4600; 65,4000
train_mask2former_baseline_seed_42_depth_0_channel_3; acdc_fog; 89,4500; 67,6800; 83,2300
train_mask2former_baseline_seed_42_depth_0_channel_3_sparsity_0,6; acdc_night; 60,8500; 24,7300; 35,2400
train_mask2former_baseline_seed_42_depth_0_channel_3_sparsity_0,6; dark_zurich; 55,9100; 19,0600; 29,6800
train_mask2former_baseline_seed_42_depth_0_channel_3_sparsity_0,6; cityscapes; 93,9000; 68,6100; 78,5600
train_mask2former_baseline_seed_42_depth_0_channel_3_sparsity_0,6; acdc_rain; 84,9100; 45,3800; 59,3700
train_mask2former_baseline_seed_42_depth_0_channel_3_sparsity_0,6; acdc_snow; 84,5200; 49,1700; 62,7900
train_mask2former_baseline_seed_42_depth_0_channel_3_sparsity_0,6; acdc_fog; 86,1200; 54,9200; 68,2900
train_mask2former_baseline_seed_42_depth_0_channel_3_sparsity_0,9; acdc_night; 58,5900; 20,6000; 28,8100
train_mask2former_baseline_seed_42_depth_0_channel_3_sparsity_0,9; dark_zurich; 55,5400; 19,1800; 29,3600
train_mask2former_baseline_seed_42_depth_0_channel_3_sparsity_0,9; cityscapes; 90,9500; 55,8000; 67,5000
train_mask2former_baseline_seed_42_depth_0_channel_3_sparsity_0,9; acdc_rain; 80,7800; 40,7600; 55,6400
train_mask2former_baseline_seed_42_depth_0_channel_3_sparsity_0,9; acdc_snow; 70,9100; 33,5600; 48,6200
train_mask2former_baseline_seed_42_depth_0_channel_3_sparsity_0,9; acdc_fog; 75,9500; 38,0900; 55,7500
train_mask2former_baseline_seed_42_depth_0_channel_3_sparsity_0,5; acdc_night; 65,1500; 25,1700; 34,2200
train_mask2former_baseline_seed_42_depth_0_channel_3_sparsity_0,5; dark_zurich; 63,2600; 22,2400; 32,8400
train_mask2former_baseline_seed_42_depth_0_channel_3_sparsity_0,5; cityscapes; 93,6500; 68,3700; 78,8300
train_mask2former_baseline_seed_42_depth_0_channel_3_sparsity_0,5; acdc_rain; 84,2100; 40,9200; 53,8100
train_mask2former_baseline_seed_42_depth_0_channel_3_sparsity_0,5; acdc_snow; 84,4700; 48,0600; 58,2400
train_mask2former_baseline_seed_42_depth_0_channel_3_sparsity_0,5; acdc_fog; 85,7600; 53,7500; 65,4900
train_mask2former_baseline_seed_42_depth_0_channel_3_sparsity_0,7; acdc_night; 67,8100; 29,5300; 39,5900
train_mask2former_baseline_seed_42_depth_0_channel_3_sparsity_0,7; dark_zurich; 64,5200; 26,7900; 38,0000
train_mask2former_baseline_seed_42_depth_0_channel_3_sparsity_0,7; cityscapes; 93,4200; 66,2600; 76,8500
train_mask2former_baseline_seed_42_depth_0_channel_3_sparsity_0,7; acdc_rain; 85,7400; 43,7400; 56,3100
train_mask2former_baseline_seed_42_depth_0_channel_3_sparsity_0,7; acdc_snow; 82,2500; 47,8700; 61,7100
train_mask2former_baseline_seed_42_depth_0_channel_3_sparsity_0,7; acdc_fog; 86,7700; 53,0300; 64,7500
train_mask2former_baseline_seed_7_depth_0_channel_3_sparsity_0,4; acdc_night; 52,6600; 21,5700; 29,5900
train_mask2former_baseline_seed_7_depth_0_channel_3_sparsity_0,4; dark_zurich; 50,3900; 20,4600; 29,4600
train_mask2former_baseline_seed_7_depth_0_channel_3_sparsity_0,4; cityscapes; 93,8200; 69,5900; 79,7900
train_mask2former_baseline_seed_7_depth_0_channel_3_sparsity_0,4; acdc_rain; 81,5400; 42,1100; 56,1300
train_mask2former_baseline_seed_7_depth_0_channel_3_sparsity_0,4; acdc_snow; 84,1500; 49,6200; 60,0200
train_mask2former_baseline_seed_7_depth_0_channel_3_sparsity_0,4; acdc_fog; 83,7500; 53,2500; 67,1300
train_mask2former_baseline_seed_7_depth_0_channel_3_sparsity_0,7; acdc_night; 63,4200; 26,5500; 37,8600
train_mask2former_baseline_seed_7_depth_0_channel_3_sparsity_0,7; dark_zurich; 58,2300; 23,6300; 37,5900
train_mask2former_baseline_seed_7_depth_0_channel_3_sparsity_0,7; cityscapes; 93,1700; 65,2900; 75,1400
train_mask2former_baseline_seed_7_depth_0_channel_3_sparsity_0,7; acdc_rain; 84,3100; 42,3600; 55,1300
train_mask2former_baseline_seed_7_depth_0_channel_3_sparsity_0,7; acdc_snow; 82,3900; 47,8700; 60,6900
train_mask2former_baseline_seed_7_depth_0_channel_3_sparsity_0,7; acdc_fog; 83,0600; 48,8400; 62,5700
train_mask2former_baseline_seed_7_depth_0_channel_3_sparsity_0,6; acdc_night; 62,3800; 24,8400; 35,5600
train_mask2former_baseline_seed_7_depth_0_channel_3_sparsity_0,6; dark_zurich; 59,5300; 23,1500; 35,3900
train_mask2former_baseline_seed_7_depth_0_channel_3_sparsity_0,6; cityscapes; 94,0600; 68,2100; 78,7700
train_mask2former_baseline_seed_7_depth_0_channel_3_sparsity_0,6; acdc_rain; 85,6300; 45,4600; 58,4400
train_mask2former_baseline_seed_7_depth_0_channel_3_sparsity_0,6; acdc_snow; 82,0600; 47,0700; 60,1600
train_mask2former_baseline_seed_7_depth_0_channel_3_sparsity_0,6; acdc_fog; 85,8200; 55,7400; 69,4300
train_mask2former_baseline_seed_7_depth_0_channel_3_sparsity_0,8; acdc_night; 65,8400; 26,8100; 37,5700
train_mask2former_baseline_seed_7_depth_0_channel_3_sparsity_0,8; dark_zurich; 60,5400; 22,9300; 35,1300
train_mask2former_baseline_seed_7_depth_0_channel_3_sparsity_0,8; cityscapes; 92,3900; 63,3700; 74,1800
train_mask2former_baseline_seed_7_depth_0_channel_3_sparsity_0,8; acdc_rain; 82,8300; 42,7300; 56,2300
train_mask2former_baseline_seed_7_depth_0_channel_3_sparsity_0,8; acdc_snow; 74,9900; 42,2400; 55,2100
train_mask2former_baseline_seed_7_depth_0_channel_3_sparsity_0,8; acdc_fog; 78,5500; 41,6900; 59,3700
train_mask2former_baseline_seed_7_depth_0_channel_3_sparsity_0,5; acdc_night; 64,5600; 26,0400; 38,2800
train_mask2former_baseline_seed_7_depth_0_channel_3_sparsity_0,5; dark_zurich; 59,9800; 22,4600; 36,3200
train_mask2former_baseline_seed_7_depth_0_channel_3_sparsity_0,5; cityscapes; 94,0500; 67,4500; 79,2200
train_mask2former_baseline_seed_7_depth_0_channel_3_sparsity_0,5; acdc_rain; 85,6000; 45,6500; 59,2900
train_mask2former_baseline_seed_7_depth_0_channel_3_sparsity_0,5; acdc_snow; 82,9000; 48,7300; 60,4400
train_mask2former_baseline_seed_7_depth_0_channel_3_sparsity_0,5; acdc_fog; 87,2300; 54,7800; 68,1600
train_mask2former_baseline_seed_7_depth_0_channel_3_sparsity_0,9; acdc_night; 61,9600; 24,4400; 34,2600
train_mask2former_baseline_seed_7_depth_0_channel_3_sparsity_0,9; dark_zurich; 56,8500; 22,1100; 32,4100
train_mask2former_baseline_seed_7_depth_0_channel_3_sparsity_0,9; cityscapes; 91,4600; 58,4600; 71,0700
train_mask2former_baseline_seed_7_depth_0_channel_3_sparsity_0,9; acdc_rain; 67,2200; 31,7800; 47,0300
train_mask2former_baseline_seed_7_depth_0_channel_3_sparsity_0,9; acdc_snow; 57,7400; 30,1900; 46,7400
train_mask2former_baseline_seed_7_depth_0_channel_3_sparsity_0,9; acdc_fog; 57,6400; 32,7700; 54,6000
train_mask2former_baseline_seed_7_depth_0_channel_3; acdc_night; 54,4300; 21,0600; 34,3700
train_mask2former_baseline_seed_7_depth_0_channel_3; dark_zurich; 51,2100; 19,4800; 32,0200
train_mask2former_baseline_seed_7_depth_0_channel_3; cityscapes; 96,1500; 77,1500; 86,7000
train_mask2former_baseline_seed_7_depth_0_channel_3; acdc_rain; 88,3900; 49,6300; 69,3300
train_mask2former_baseline_seed_7_depth_0_channel_3; acdc_snow; 82,9900; 47,8200; 61,3600
train_mask2former_baseline_seed_7_depth_0_channel_3; acdc_fog; 91,5200; 61,6000; 77,4200
