run; test_dataset; aAcc_mean; aAcc_std; mIoU_mean; mIoU_std; mAcc_mean; mAcc_std
train_mask2former_co_depth_5_channel_3_sparsity_0,005; acdc_rain; 87,4267; 0,4148; 46,5467; 1,2045; 63,5533; 2,7681
train_mask2former_co_depth_5_channel_3_sparsity_0,005; acdc_snow; 83,3433; 2,6101; 48,6567; 2,6520; 61,2500; 2,5117
train_mask2former_co_depth_5_channel_3_sparsity_0,005; cityscapes; 95,5300; 0,1179; 73,2467; 0,9757; 84,4833; 0,5314
train_mask2former_co_depth_5_channel_3_sparsity_0,005; dark_zurich; 54,8167; 1,0302; 22,4533; 2,0639; 36,8400; 1,0290
train_mask2former_co_depth_5_channel_3_sparsity_0,0075; acdc_fog; 91,8967; 0,8838; 64,4167; 1,1453; 76,7533; 0,5948
train_mask2former_co_depth_5_channel_3_sparsity_0,0075; acdc_night; 59,7233; 2,3589; 25,8000; 2,7699; 39,8433; 3,3242
train_mask2former_co_depth_5_channel_3_sparsity_0,0075; acdc_rain; 89,3333; 0,4969; 49,1867; 0,3153; 65,4533; 0,9168
train_mask2former_co_depth_5_channel_3_sparsity_0,0075; acdc_snow; 86,0600; 1,9977; 49,5300; 4,9789; 62,3567; 4,3701
train_mask2former_co_depth_5_channel_3_sparsity_0,0075; cityscapes; 95,5367; 0,0462; 73,9233; 0,7638; 85,1700; 0,9597
train_mask2former_co_depth_5_channel_3_sparsity_0,0075; dark_zurich; 56,3800; 2,8890; 24,3433; 1,7924; 38,3000; 2,8402
train_mask2former_co_depth_5_channel_3_sparsity_0,01; acdc_fog; 91,6467; 0,9058; 64,0167; 0,7051; 76,2467; 1,1020
train_mask2former_co_depth_5_channel_3_sparsity_0,01; acdc_night; 56,5067; 1,2571; 23,6367; 1,7135; 37,3833; 0,5294
train_mask2former_co_depth_5_channel_3_sparsity_0,01; acdc_rain; 88,7367; 0,8887; 47,2533; 2,2046; 63,1167; 1,3400
train_mask2former_co_depth_5_channel_3_sparsity_0,01; acdc_snow; 85,1833; 1,9012; 49,2167; 1,9490; 61,2600; 0,9959
train_mask2former_co_depth_5_channel_3_sparsity_0,01; cityscapes; 95,5100; 0,0889; 73,6700; 0,9297; 84,8167; 0,6854
train_mask2former_co_depth_5_channel_3_sparsity_0,01; dark_zurich; 53,2400; 0,9656; 22,4767; 1,1265; 36,0900; 0,8921
train_mask2former_co_depth_5_channel_3_sparsity_0,02; acdc_fog; 89,5533; 0,5378; 57,4667; 3,7632; 70,6267; 3,2287
train_mask2former_co_depth_5_channel_3_sparsity_0,02; acdc_night; 54,0300; 2,1370; 23,4700; 2,0907; 35,6167; 2,1820
train_mask2former_co_depth_5_channel_3_sparsity_0,02; acdc_rain; 85,7933; 1,0719; 43,8767; 0,1901; 59,7833; 0,3707
train_mask2former_co_depth_5_channel_3_sparsity_0,02; acdc_snow; 83,4067; 2,2890; 46,5567; 3,1011; 58,2967; 2,1270
train_mask2former_co_depth_5_channel_3_sparsity_0,02; cityscapes; 95,0600; 0,1552; 71,3367; 1,3428; 83,4100; 1,1495
train_mask2former_co_depth_5_channel_3_sparsity_0,02; dark_zurich; 51,9133; 1,2842; 22,4100; 2,0355; 34,6267; 2,1630
train_mask2former_sc_depth_5_channel_3_sparsity_0,0; acdc_fog; 90,4267; 1,3279; 63,7667; 3,2486; 77,7833; 2,5646
train_mask2former_sc_depth_5_channel_3_sparsity_0,0; acdc_night; 60,0267; 2,9360; 26,6433; 0,2554; 42,3767; 1,6688
train_mask2former_sc_depth_5_channel_3_sparsity_0,0; acdc_rain; 86,8433; 3,2114; 44,8600; 3,3770; 62,0967; 5,3426
train_mask2former_sc_depth_5_channel_3_sparsity_0,0; acdc_snow; 81,8567; 3,8730; 46,9733; 3,9801; 61,2600; 5,4300
train_mask2former_sc_depth_5_channel_3_sparsity_0,0; cityscapes; 95,7467; 0,0231; 74,0167; 0,6172; 84,6400; 0,8487
train_mask2former_sc_depth_5_channel_3_sparsity_0,0; dark_zurich; 57,0933; 3,5201; 24,9200; 1,0906; 39,6433; 2,3697
train_mask2former_sc_depth_5_channel_3_sparsity_0,005; acdc_fog; 90,8000; 1,1173; 62,2133; 1,9207; 78,0667; 1,5180
train_mask2former_sc_depth_5_channel_3_sparsity_0,005; acdc_night; 59,6233; 1,0661; 27,4233; 2,6974; 42,0367; 0,5000
train_mask2former_sc_depth_5_channel_3_sparsity_0,005; acdc_rain; 87,8967; 0,8456; 45,6600; 1,0184; 64,0000; 0,1637
train_mask2former_sc_depth_5_channel_3_sparsity_0,005; acdc_snow; 83,9567; 1,6219; 47,6467; 2,2779; 60,8867; 3,0596
train_mask2former_sc_depth_5_channel_3_sparsity_0,005; cityscapes; 95,6667; 0,1150; 73,3733; 1,4507; 84,1633; 1,3387
train_mask2former_sc_depth_5_channel_3_sparsity_0,005; dark_zurich; 56,4267; 0,3580; 25,3200; 0,2170; 39,1767; 1,2483
train_mask2former_sc_depth_5_channel_3_sparsity_0,0075; acdc_fog; 90,0667; 0,8805; 64,6233; 1,1232; 78,3900; 0,3251
train_mask2former_sc_depth_5_channel_3_sparsity_0,0075; acdc_night; 56,8867; 0,2802; 24,8300; 1,1776; 37,9233; 2,1289
train_mask2former_sc_depth_5_channel_3_sparsity_0,0075; acdc_rain; 86,9067; 1,7789; 45,7400; 1,8298; 64,0700; 1,6036
train_mask2former_sc_depth_5_channel_3_sparsity_0,0075; acdc_snow; 81,8433; 2,5231; 44,8433; 3,3258; 57,6500; 3,4936
train_mask2former_sc_depth_5_channel_3_sparsity_0,0075; cityscapes; 95,7600; 0,0436; 74,2833; 0,3656; 84,9533; 0,1914
train_mask2former_sc_depth_5_channel_3_sparsity_0,0075; dark_zurich; 54,2233; 0,5012; 23,9033; 0,8918; 36,8633; 1,9524
train_mask2former_sc_depth_5_channel_3_sparsity_0,01; acdc_fog; 90,9567; 1,9252; 61,8267; 3,6927; 76,8667; 3,1041
train_mask2former_sc_depth_5_channel_3_sparsity_0,01; acdc_night; 58,9733; 1,4708; 26,3767; 1,5060; 41,5533; 2,5448
train_mask2former_sc_depth_5_channel_3_sparsity_0,01; acdc_rain; 88,0967; 0,6473; 46,4067; 1,0955; 63,6800; 2,0285
train_mask2former_sc_depth_5_channel_3_sparsity_0,01; acdc_snow; 82,9633; 1,4797; 48,0667; 1,1215; 61,0833; 0,4149
train_mask2former_sc_depth_5_channel_3_sparsity_0,01; cityscapes; 95,7500; 0,0500; 74,1667; 1,5302; 85,1600; 1,7120
train_mask2former_sc_depth_5_channel_3_sparsity_0,01; dark_zurich; 56,3000; 1,9128; 24,9500; 1,1700; 39,4833; 2,6655
train_mask2former_sc_depth_5_channel_3_sparsity_0,02; acdc_fog; 88,3200; 3,7211; 59,4167; 6,6584; 74,2667; 6,3094
train_mask2former_sc_depth_5_channel_3_sparsity_0,02; acdc_night; 56,2067; 2,5641; 23,3167; 1,1898; 39,0667; 2,1434
train_mask2former_sc_depth_5_channel_3_sparsity_0,02; acdc_rain; 83,6800; 5,2600; 42,8267; 2,6532; 59,8333; 3,8338
train_mask2former_sc_depth_5_channel_3_sparsity_0,02; acdc_snow; 78,7567; 3,1828; 43,2033; 3,1552; 56,2467; 4,1250
train_mask2former_sc_depth_5_channel_3_sparsity_0,02; cityscapes; 95,4667; 0,1097; 72,5267; 1,7135; 83,6533; 1,7141
train_mask2former_sc_depth_5_channel_3_sparsity_0,02; dark_zurich; 53,7367; 0,8855; 22,5000; 0,7843; 37,5633; 2,4100
