run; test_dataset; aAcc_mean; aAcc_std; mIoU_mean; mIoU_std; mAcc_mean; mAcc_std
train_deeplabv3plus_bw_depth_5_channel_3_sparse_percent_based_0,9; cityscapes; 89,0567; 0,2259; 51,1300; 0,1952; 62,1433; 0,5498
train_deeplabv3plus_bw_depth_5_channel_3_sparse_percent_based_0,9; dark_zurich; 45,4100; 2,0574; 15,2500; 1,6385; 26,1767; 1,4602
train_deeplabv3plus_co_depth_5_channel_3_sparse_percent_based_0,4; acdc_fog; 84,7600; 3,2738; 47,4800; 2,4867; 58,9500; 0,5103
train_deeplabv3plus_co_depth_5_channel_3_sparse_percent_based_0,4; acdc_night; 56,4467; 1,1853; 19,9833; 0,2843; 32,5867; 0,8510
train_deeplabv3plus_co_depth_5_channel_3_sparse_percent_based_0,4; acdc_rain; 80,4400; 3,7086; 36,4233; 1,7970; 49,0900; 1,4492
train_deeplabv3plus_co_depth_5_channel_3_sparse_percent_based_0,4; acdc_snow; 73,6200; 3,8529; 31,2533; 1,7796; 43,3667; 1,4607
train_deeplabv3plus_co_depth_5_channel_3_sparse_percent_based_0,4; cityscapes; 94,8267; 0,0473; 66,9067; 1,4429; 76,7433; 2,1785
train_deeplabv3plus_co_depth_5_channel_3_sparse_percent_based_0,4; dark_zurich; 52,7733; 1,5082; 18,8067; 0,5876; 32,5733; 1,3201
train_deeplabv3plus_co_depth_5_channel_3_sparse_percent_based_0,5; acdc_fog; 87,8467; 1,4098; 48,7767; 0,2754; 61,7933; 0,3323
train_deeplabv3plus_co_depth_5_channel_3_sparse_percent_based_0,5; acdc_night; 57,9367; 0,9209; 20,0400; 0,9809; 32,6267; 1,8623
train_deeplabv3plus_co_depth_5_channel_3_sparse_percent_based_0,5; acdc_rain; 84,2333; 1,6387; 37,9033; 1,7518; 50,4233; 1,7861
train_deeplabv3plus_co_depth_5_channel_3_sparse_percent_based_0,5; acdc_snow; 77,3733; 4,2273; 33,8000; 1,1484; 46,5700; 0,9890
