run; test_dataset; aAcc_mean; aAcc_std; mIoU_mean; mIoU_std; mAcc_mean; mAcc_std
train_deeplabv3plus_co_depth_5_channel_3_sparsity_0,0075; acdc_full; 73,3333; 5,6537; 32,8100; 2,1875; 42,9933; 1,4076
train_deeplabv3plus_co_depth_5_channel_3_sparsity_0,0075; acdc_night; 58,4733; 1,8044; 20,6300; 1,0309; 32,6233; 1,8250
train_deeplabv3plus_co_depth_5_channel_3_sparsity_0,0075; acdc_rain; 80,3667; 6,0997; 35,2300; 2,5029; 46,9967; 1,1773
train_deeplabv3plus_co_depth_5_channel_3_sparsity_0,0075; acdc_snow; 73,5567; 7,4812; 31,4033; 2,9647; 43,6933; 1,6421
train_deeplabv3plus_co_depth_5_channel_3_sparsity_0,0075; cityscapes; 94,7033; 0,2419; 65,0433; 1,3075; 75,3200; 1,3410
train_deeplabv3plus_co_depth_5_channel_3_sparsity_0,0075; dark_zurich; 54,8867; 1,5041; 19,5433; 1,1232; 32,9233; 2,6766
train_deeplabv3plus_co_depth_5_channel_3_sparsity_0,01; acdc_fog; 85,0400; 2,6640; 44,6767; 1,6857; 55,8267; 1,0553
train_deeplabv3plus_co_depth_5_channel_3_sparsity_0,01; acdc_full; 76,0833; 2,5270; 32,6900; 1,1358; 42,4900; 0,0656
train_deeplabv3plus_co_depth_5_channel_3_sparsity_0,01; acdc_night; 58,6567; 2,5019; 20,9100; 0,9382; 32,6233; 1,0947
train_deeplabv3plus_co_depth_5_channel_3_sparsity_0,01; acdc_rain; 84,1967; 1,3952; 35,7933; 0,6671; 46,2933; 0,5950
train_deeplabv3plus_co_depth_5_channel_3_sparsity_0,01; acdc_snow; 76,9833; 3,8596; 31,1433; 1,7127; 42,9300; 0,8030
train_deeplabv3plus_co_depth_5_channel_3_sparsity_0,01; cityscapes; 94,2767; 0,1716; 63,6933; 2,6643; 73,9800; 3,6320
train_deeplabv3plus_co_depth_5_channel_3_sparsity_0,01; dark_zurich; 55,2333; 2,8611; 19,7467; 0,7736; 33,2833; 0,9961
train_deeplabv3plus_co_depth_5_channel_3_sparsity_0,02; acdc_fog; 86,7600; 1,8260; 46,0167; 2,3699; 55,6100; 2,8950
train_deeplabv3plus_co_depth_5_channel_3_sparsity_0,02; acdc_full; 77,4933; 1,3271; 35,3700; 1,5451; 44,2300; 1,9672
train_deeplabv3plus_co_depth_5_channel_3_sparsity_0,02; acdc_night; 58,4367; 1,0323; 22,3567; 1,1910; 33,9667; 1,3380
train_deeplabv3plus_co_depth_5_channel_3_sparsity_0,02; acdc_rain; 86,3533; 1,1587; 38,5800; 1,5300; 48,3533; 2,0125
train_deeplabv3plus_co_depth_5_channel_3_sparsity_0,02; acdc_snow; 79,0233; 1,4493; 34,5400; 1,5091; 45,0633; 2,1717
train_deeplabv3plus_co_depth_5_channel_3_sparsity_0,02; cityscapes; 94,2633; 0,1823; 64,3733; 1,0340; 74,7133; 1,6426
train_deeplabv3plus_co_depth_5_channel_3_sparsity_0,02; dark_zurich; 55,4967; 1,0821; 20,9567; 1,0727; 35,4167; 1,4704
train_deeplabv3plus_sc_depth_5_channel_3_sparsity_0,005; acdc_fog; 84,1933; 6,3689; 50,8733; 3,3206; 63,8033; 3,5412
train_deeplabv3plus_sc_depth_5_channel_3_sparsity_0,005; acdc_full; 74,0600; 4,9887; 34,3633; 2,0465; 46,8167; 1,8869
