run; test_dataset; aAcc; mIoU; mAcc
train_upernet_sc_seed_25_depth_5_channel_3_sparsity_0,0; acdc_full; 69,4100; 27,7000; 38,3500
train_upernet_sc_seed_42_depth_5_channel_3_sparsity_0,0; acdc_night; 44,6700; 14,1700; 27,2300
train_upernet_sc_seed_42_depth_5_channel_3_sparsity_0,0; dark_zurich; 40,7200; 13,2000; 28,3800
train_upernet_sc_seed_42_depth_5_channel_3_sparsity_0,0; cityscapes; 94,6800; 66,5900; 75,4300
train_upernet_sc_seed_42_depth_5_channel_3_sparsity_0,0; acdc_rain; 67,5700; 33,0300; 44,5800
train_upernet_sc_seed_42_depth_5_channel_3_sparsity_0,0; acdc_snow; 60,6500; 27,4900; 37,7700
train_upernet_sc_seed_42_depth_5_channel_3_sparsity_0,0; acdc_fog; 72,3500; 45,0000; 56,7900
train_upernet_sc_seed_42_depth_5_channel_3_sparsity_0,0; acdc_full; 61,1800; 27,8200; 39,5500
train_upernet_sc_seed_7_depth_5_channel_3_sparsity_0,0; acdc_night; 52,7200; 16,1700; 29,2500
train_upernet_sc_seed_7_depth_5_channel_3_sparsity_0,0; dark_zurich; 47,9000; 15,5600; 28,7100
train_upernet_sc_seed_7_depth_5_channel_3_sparsity_0,0; cityscapes; 94,4400; 61,9300; 70,1500
train_upernet_sc_seed_7_depth_5_channel_3_sparsity_0,0; acdc_rain; 77,5800; 34,1300; 44,3700
train_upernet_sc_seed_7_depth_5_channel_3_sparsity_0,0; acdc_snow; 74,7800; 30,0900; 40,3100
train_upernet_sc_seed_7_depth_5_channel_3_sparsity_0,0; acdc_fog; 88,1600; 48,0000; 56,4500
train_upernet_sc_seed_7_depth_5_channel_3_sparsity_0,0; acdc_full; 73,1500; 31,3900; 40,7200
