run; test_dataset; aAcc; mIoU; mAcc
train_upernet_baseline_seed_25_depth_0_channel_3_sparsity_0,0; acdc_fog; 88,6200; 45,7300; 55,2900
train_upernet_baseline_seed_25_depth_0_channel_3_sparsity_0,0; acdc_full; 76,9600; 30,9300; 41,2600
train_upernet_baseline_seed_42_depth_0_channel_3_sparsity_0,8; acdc_night; 43,4900; 11,7200; 19,2200
train_upernet_baseline_seed_42_depth_0_channel_3_sparsity_0,8; dark_zurich; 44,8900; 11,8600; 20,3600
train_upernet_baseline_seed_42_depth_0_channel_3_sparsity_0,8; cityscapes; 76,2300; 37,7500; 47,4700
train_upernet_baseline_seed_42_depth_0_channel_3_sparsity_0,8; acdc_rain; 65,5200; 18,6800; 25,2600
train_upernet_baseline_seed_42_depth_0_channel_3_sparsity_0,8; acdc_snow; 66,4000; 24,1400; 33,2900
train_upernet_baseline_seed_42_depth_0_channel_3_sparsity_0,8; acdc_fog; 62,6600; 21,5800; 29,8900
train_upernet_baseline_seed_42_depth_0_channel_3_sparsity_0,8; acdc_full; 54,3700; 13,5900; 23,1300
train_upernet_baseline_seed_42_depth_0_channel_3_sparsity_0,0; acdc_night; 42,6300; 11,4400; 24,1600
train_upernet_baseline_seed_42_depth_0_channel_3_sparsity_0,0; dark_zurich; 40,1300; 11,7000; 24,1400
train_upernet_baseline_seed_42_depth_0_channel_3_sparsity_0,0; cityscapes; 94,6100; 66,5800; 74,0200
train_upernet_baseline_seed_42_depth_0_channel_3_sparsity_0,0; acdc_rain; 80,0600; 34,8100; 45,7000
train_upernet_baseline_seed_42_depth_0_channel_3_sparsity_0,0; acdc_snow; 60,0800; 23,3400; 29,6700
train_upernet_baseline_seed_42_depth_0_channel_3_sparsity_0,0; acdc_fog; 83,8100; 43,6300; 51,9200
train_upernet_baseline_seed_42_depth_0_channel_3_sparsity_0,0; acdc_full; 66,4600; 26,5500; 36,6600
train_upernet_baseline_seed_42_depth_0_channel_3_sparsity_0,5; acdc_night; 44,1400; 10,1300; 15,1500
train_upernet_baseline_seed_42_depth_0_channel_3_sparsity_0,5; dark_zurich; 41,3300; 10,0400; 16,1500
train_upernet_baseline_seed_42_depth_0_channel_3_sparsity_0,5; cityscapes; 81,9300; 37,9500; 48,0600
train_upernet_baseline_seed_42_depth_0_channel_3_sparsity_0,5; acdc_rain; 62,8100; 17,9900; 24,3600
train_upernet_baseline_seed_42_depth_0_channel_3_sparsity_0,5; acdc_snow; 55,4200; 19,4400; 29,2400
train_upernet_baseline_seed_42_depth_0_channel_3_sparsity_0,5; acdc_fog; 65,3900; 25,4400; 34,8100
train_upernet_baseline_seed_42_depth_0_channel_3_sparsity_0,5; acdc_full; 56,6100; 18,1300; 31,8200
train_upernet_baseline_seed_42_depth_0_channel_3_sparsity_0,7; acdc_night; 46,0900; 9,4000; 15,8900
train_upernet_baseline_seed_42_depth_0_channel_3_sparsity_0,7; dark_zurich; 47,5800; 9,3800; 17,2200
train_upernet_baseline_seed_42_depth_0_channel_3_sparsity_0,7; cityscapes; 63,6700; 25,0000; 37,3800
train_upernet_baseline_seed_42_depth_0_channel_3_sparsity_0,7; acdc_rain; 57,5500; 13,6500; 18,6200
train_upernet_baseline_seed_42_depth_0_channel_3_sparsity_0,7; acdc_snow; 59,1500; 18,8800; 28,4800
train_upernet_baseline_seed_42_depth_0_channel_3_sparsity_0,7; acdc_fog; 51,9000; 11,6600; 20,4200
train_upernet_baseline_seed_42_depth_0_channel_3_sparsity_0,7; acdc_full; 57,2600; 15,2900; 26,4600
train_upernet_baseline_seed_42_depth_0_channel_3_sparsity_0,9; acdc_night; 48,7900; 9,4800; 17,0600
train_upernet_baseline_seed_42_depth_0_channel_3_sparsity_0,9; dark_zurich; 43,7500; 9,1400; 17,6900
train_upernet_baseline_seed_42_depth_0_channel_3_sparsity_0,9; cityscapes; 74,7000; 29,9800; 42,3800
train_upernet_baseline_seed_42_depth_0_channel_3_sparsity_0,9; acdc_rain; 66,0500; 16,9300; 25,6400
train_upernet_baseline_seed_42_depth_0_channel_3_sparsity_0,9; acdc_snow; 55,7100; 16,9100; 28,4400
train_upernet_baseline_seed_42_depth_0_channel_3_sparsity_0,9; acdc_fog; 56,4700; 14,7800; 23,7400
train_upernet_baseline_seed_42_depth_0_channel_3_sparsity_0,9; acdc_full; 43,8600; 9,5400; 15,5000
train_upernet_baseline_seed_42_depth_0_channel_3_sparsity_0,6; acdc_night; 55,1600; 14,7700; 24,0100
train_upernet_baseline_seed_42_depth_0_channel_3_sparsity_0,6; dark_zurich; 53,2900; 16,0400; 25,2100
train_upernet_baseline_seed_42_depth_0_channel_3_sparsity_0,6; cityscapes; 88,7600; 48,4300; 57,3300
train_upernet_baseline_seed_42_depth_0_channel_3_sparsity_0,6; acdc_rain; 67,0500; 21,0100; 27,9400
train_upernet_baseline_seed_42_depth_0_channel_3_sparsity_0,6; acdc_snow; 63,3100; 21,8900; 30,1400
train_upernet_baseline_seed_42_depth_0_channel_3_sparsity_0,6; acdc_fog; 77,0700; 32,6800; 39,7800
train_upernet_baseline_seed_42_depth_0_channel_3_sparsity_0,6; acdc_full; 59,2400; 18,1300; 31,4400
train_upernet_baseline_seed_42_depth_0_channel_3_sparsity_0,4; acdc_night; 48,8200; 12,2700; 19,0400
train_upernet_baseline_seed_42_depth_0_channel_3_sparsity_0,4; dark_zurich; 47,1100; 13,0700; 20,8100
train_upernet_baseline_seed_42_depth_0_channel_3_sparsity_0,4; cityscapes; 88,2200; 44,9300; 54,7700
train_upernet_baseline_seed_42_depth_0_channel_3_sparsity_0,4; acdc_rain; 42,8600; 16,1800; 24,5400
train_upernet_baseline_seed_42_depth_0_channel_3_sparsity_0,4; acdc_snow; 44,0600; 18,5200; 27,1000
train_upernet_baseline_seed_42_depth_0_channel_3_sparsity_0,4; acdc_fog; 52,8100; 27,7700; 36,8100
train_upernet_baseline_seed_42_depth_0_channel_3_sparsity_0,4; acdc_full; 54,5000; 22,2200; 34,0700
train_upernet_baseline_seed_7_depth_0_channel_3_sparsity_0,5; acdc_night; 47,0400; 10,4600; 16,8700
train_upernet_baseline_seed_7_depth_0_channel_3_sparsity_0,5; dark_zurich; 48,6600; 11,1300; 18,5400
train_upernet_baseline_seed_7_depth_0_channel_3_sparsity_0,5; cityscapes; 84,9000; 42,2500; 52,2500
train_upernet_baseline_seed_7_depth_0_channel_3_sparsity_0,5; acdc_rain; 57,3200; 18,2700; 25,7400
train_upernet_baseline_seed_7_depth_0_channel_3_sparsity_0,5; acdc_snow; 54,5000; 21,3400; 29,4600
train_upernet_baseline_seed_7_depth_0_channel_3_sparsity_0,5; acdc_fog; 67,7500; 30,1000; 37,0000
train_upernet_baseline_seed_7_depth_0_channel_3_sparsity_0,5; acdc_full; 58,7500; 19,5100; 35,0600
train_upernet_baseline_seed_7_depth_0_channel_3_sparsity_0,9; acdc_night; 48,7000; 9,2600; 17,1300
train_upernet_baseline_seed_7_depth_0_channel_3_sparsity_0,9; dark_zurich; 46,5700; 9,2800; 18,4500
train_upernet_baseline_seed_7_depth_0_channel_3_sparsity_0,9; cityscapes; 70,4100; 28,4500; 40,4800
train_upernet_baseline_seed_7_depth_0_channel_3_sparsity_0,9; acdc_rain; 63,8300; 15,3400; 22,4900
train_upernet_baseline_seed_7_depth_0_channel_3_sparsity_0,9; acdc_snow; 55,5400; 15,7100; 25,5700
train_upernet_baseline_seed_7_depth_0_channel_3_sparsity_0,9; acdc_fog; 59,0000; 15,0600; 24,9100
train_upernet_baseline_seed_7_depth_0_channel_3_sparsity_0,9; acdc_full; 46,2200; 10,1700; 16,5800
train_upernet_baseline_seed_7_depth_0_channel_3_sparsity_0,4; acdc_night; 38,4800; 9,8300; 13,6400
train_upernet_baseline_seed_7_depth_0_channel_3_sparsity_0,4; dark_zurich; 33,9800; 9,6900; 13,6700
train_upernet_baseline_seed_7_depth_0_channel_3_sparsity_0,4; cityscapes; 83,2900; 40,2100; 49,8400
train_upernet_baseline_seed_7_depth_0_channel_3_sparsity_0,4; acdc_rain; 48,0300; 15,0900; 23,1100
train_upernet_baseline_seed_7_depth_0_channel_3_sparsity_0,4; acdc_snow; 53,7600; 20,3700; 29,9900
