run; test_dataset; aAcc; mIoU; mAcc
train_deeplabv3plus_bw_seed_42_depth_5_channel_3_sparsity_0,005; cityscapes; 94,7200; 66,3500; 76,8500
train_deeplabv3plus_bw_seed_42_depth_5_channel_3_sparsity_0,005; acdc_rain; 84,8500; 36,6700; 46,2800
train_deeplabv3plus_bw_seed_42_depth_5_channel_3_sparsity_0,005; acdc_snow; 74,9500; 33,3900; 44,8600
train_deeplabv3plus_bw_seed_42_depth_5_channel_3_sparsity_0,005; acdc_fog; 86,7400; 51,2000; 61,3300
train_deeplabv3plus_bw_seed_42_depth_5_channel_3_sparsity_0,005; acdc_full; 75,7300; 34,9700; 44,7200
train_deeplabv3plus_bw_seed_42_depth_5_channel_3_sparsity_0,02; acdc_night; 51,6400; 18,9400; 31,9400
train_deeplabv3plus_bw_seed_42_depth_5_channel_3_sparsity_0,02; dark_zurich; 46,7400; 18,2400; 33,8500
train_deeplabv3plus_bw_seed_42_depth_5_channel_3_sparsity_0,02; cityscapes; 93,7700; 64,9400; 75,7400
train_deeplabv3plus_bw_seed_42_depth_5_channel_3_sparsity_0,02; acdc_rain; 87,0100; 39,4200; 49,6000
train_deeplabv3plus_bw_seed_42_depth_5_channel_3_sparsity_0,02; acdc_snow; 80,7600; 35,4200; 46,2700
train_deeplabv3plus_bw_seed_42_depth_5_channel_3_sparsity_0,02; acdc_fog; 89,5900; 51,0400; 60,9300
train_deeplabv3plus_bw_seed_42_depth_5_channel_3_sparsity_0,02; acdc_full; 77,0500; 35,4900; 45,5800
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparsity_0,005; acdc_night; 59,9900; 20,1800; 33,7200
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparsity_0,005; dark_zurich; 57,0700; 19,2400; 33,0900
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparsity_0,005; cityscapes; 94,2300; 65,1700; 74,8100
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparsity_0,005; acdc_rain; 87,8800; 38,5600; 48,4200
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparsity_0,005; acdc_snow; 83,0600; 34,5300; 44,9500
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparsity_0,005; acdc_fog; 90,0900; 51,0100; 60,3200
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparsity_0,005; acdc_full; 80,0900; 35,6200; 44,9700
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparsity_0,01; acdc_night; 61,0500; 23,6500; 37,1400
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparsity_0,01; dark_zurich; 57,6800; 24,0700; 38,9900
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparsity_0,01; cityscapes; 94,4800; 64,1400; 75,3700
