run; test_dataset; aAcc_mean; aAcc_std; mIoU_mean; mIoU_std; mAcc_mean; mAcc_std
train_mask2former_bw_depth_5_channel_3_sparse_percent_based_0,9; acdc_full; 77,7000; 0,5635; 37,8367; 0,4924; 48,5367; 1,2108
train_mask2former_bw_depth_5_channel_3_sparse_percent_based_0,9; acdc_night; 55,7233; 0,6481; 23,2267; 1,1793; 36,5867; 1,9985
train_mask2former_bw_depth_5_channel_3_sparse_percent_based_0,9; acdc_rain; 85,6400; 0,8619; 39,0300; 0,4397; 48,9600; 0,7114
train_mask2former_bw_depth_5_channel_3_sparse_percent_based_0,9; acdc_snow; 82,4400; 0,5011; 42,2367; 0,5125; 52,3033; 0,9123
train_mask2former_bw_depth_5_channel_3_sparse_percent_based_0,9; cityscapes; 92,0067; 0,2003; 59,4300; 0,7990; 72,0667; 0,8000
train_mask2former_bw_depth_5_channel_3_sparse_percent_based_0,9; dark_zurich; 54,5500; 0,4709; 23,3633; 1,4514; 37,4200; 2,6101
train_mask2former_co_depth_5_channel_3_sparse_percent_based_0,4; acdc_fog; 90,0100; 2,3306; 61,3900; 2,9850; 75,3700; 2,0247
train_mask2former_co_depth_5_channel_3_sparse_percent_based_0,4; acdc_full; 79,7967; 1,0073; 44,0333; 1,6517; 58,4800; 1,0536
train_mask2former_co_depth_5_channel_3_sparse_percent_based_0,4; acdc_night; 58,4033; 1,1927; 23,2200; 0,9100; 39,7067; 1,4745
train_mask2former_co_depth_5_channel_3_sparse_percent_based_0,4; acdc_rain; 86,9733; 1,2268; 46,3900; 1,6488; 63,1767; 3,5775
train_mask2former_co_depth_5_channel_3_sparse_percent_based_0,4; acdc_snow; 84,4833; 1,4612; 49,6267; 2,2720; 61,8800; 1,7510
train_mask2former_co_depth_5_channel_3_sparse_percent_based_0,4; cityscapes; 95,5467; 0,0839; 73,4200; 0,9148; 84,5033; 0,8146
train_mask2former_co_depth_5_channel_3_sparse_percent_based_0,4; dark_zurich; 55,1333; 1,1261; 20,7833; 1,0537; 36,2600; 1,0616
train_mask2former_co_depth_5_channel_3_sparse_percent_based_0,5; acdc_fog; 91,6233; 0,7801; 63,8733; 4,7221; 76,9100; 2,5575
train_mask2former_co_depth_5_channel_3_sparse_percent_based_0,5; acdc_full; 80,8333; 0,6117; 45,1967; 1,9004; 58,7000; 0,9579
train_mask2former_co_depth_5_channel_3_sparse_percent_based_0,5; acdc_night; 59,8567; 1,4460; 25,4533; 0,8093; 40,4067; 2,1474
train_mask2former_co_depth_5_channel_3_sparse_percent_based_0,5; acdc_rain; 88,0167; 0,9876; 47,0667; 1,8630; 63,8633; 1,8242
train_mask2former_co_depth_5_channel_3_sparse_percent_based_0,5; acdc_snow; 84,5067; 1,4578; 48,3767; 3,5959; 60,8233; 2,8409
train_mask2former_co_depth_5_channel_3_sparse_percent_based_0,5; cityscapes; 95,5133; 0,1115; 73,5567; 0,6240; 84,4933; 0,3612
train_mask2former_co_depth_5_channel_3_sparse_percent_based_0,5; dark_zurich; 57,7600; 1,7603; 24,6133; 0,2818; 38,7667; 1,8649
train_mask2former_co_depth_5_channel_3_sparse_percent_based_0,6; acdc_fog; 91,7700; 1,3927; 62,7867; 4,8704; 75,5533; 5,8244
train_mask2former_co_depth_5_channel_3_sparse_percent_based_0,6; acdc_full; 80,4300; 0,9071; 46,8767; 2,8781; 60,0200; 1,4284
train_mask2former_co_depth_5_channel_3_sparse_percent_based_0,6; acdc_night; 57,5767; 1,4564; 24,8133; 0,5154; 39,1867; 1,3419
train_mask2former_co_depth_5_channel_3_sparse_percent_based_0,6; acdc_rain; 88,5167; 1,6518; 48,6467; 3,5765; 64,8433; 1,2482
train_mask2former_co_depth_5_channel_3_sparse_percent_based_0,6; acdc_snow; 84,5800; 1,8378; 50,5100; 3,8411; 63,3700; 2,8758
train_mask2former_co_depth_5_channel_3_sparse_percent_based_0,6; cityscapes; 95,5200; 0,0656; 74,0733; 1,1570; 85,3000; 0,9853
train_mask2former_co_depth_5_channel_3_sparse_percent_based_0,6; dark_zurich; 54,8167; 1,7106; 23,2367; 0,8501; 37,2500; 0,3291
train_mask2former_co_depth_5_channel_3_sparse_percent_based_0,7; acdc_fog; 91,6300; 0,4504; 64,4067; 0,6158; 77,0200; 1,1846
train_mask2former_co_depth_5_channel_3_sparse_percent_based_0,7; acdc_full; 80,7633; 0,3694; 47,4367; 0,5154; 60,3433; 0,9686
train_mask2former_co_depth_5_channel_3_sparse_percent_based_0,7; acdc_night; 57,2867; 1,0640; 25,4500; 0,5274; 40,2833; 1,5910
train_mask2former_co_depth_5_channel_3_sparse_percent_based_0,7; acdc_rain; 89,0467; 0,5835; 48,0900; 0,7351; 64,7700; 1,0959
train_mask2former_co_depth_5_channel_3_sparse_percent_based_0,7; acdc_snow; 85,8433; 1,4436; 52,2267; 1,5662; 64,3333; 1,5074
train_mask2former_co_depth_5_channel_3_sparse_percent_based_0,7; cityscapes; 95,3567; 0,0404; 72,4433; 1,4736; 84,3200; 1,6465
train_mask2former_co_depth_5_channel_3_sparse_percent_based_0,7; dark_zurich; 54,5567; 1,1261; 24,1433; 1,1147; 38,3000; 1,1433
train_mask2former_co_depth_5_channel_3_sparse_percent_based_0,8; acdc_fog; 88,2033; 1,2966; 58,6100; 1,9573; 71,9733; 0,8958
train_mask2former_co_depth_5_channel_3_sparse_percent_based_0,8; acdc_full; 77,7600; 1,6658; 45,9500; 0,9560; 57,9467; 1,0366
train_mask2former_co_depth_5_channel_3_sparse_percent_based_0,8; acdc_night; 53,8700; 2,0372; 24,9433; 0,0252; 37,3700; 1,1247
