run; test_dataset; aAcc; mIoU; mAcc
train_deeplabv3plus_baseline_seed_42_depth_0_channel_3_sparsity_0,4; dark_zurich; 25,9900; 7,3300; 15,4500
train_deeplabv3plus_baseline_seed_42_depth_0_channel_3_sparsity_0,4; cityscapes; 93,1300; 61,5200; 74,7600
train_deeplabv3plus_baseline_seed_42_depth_0_channel_3_sparsity_0,4; acdc_rain; 62,6200; 21,8900; 32,3200
train_deeplabv3plus_baseline_seed_42_depth_0_channel_3_sparsity_0,4; acdc_snow; 51,9700; 21,6900; 33,9000
train_deeplabv3plus_baseline_seed_42_depth_0_channel_3_sparsity_0,4; acdc_fog; 58,4000; 29,4200; 43,5000
train_deeplabv3plus_baseline_seed_42_depth_0_channel_3_sparsity_0,4; acdc_full; 62,7300; 22,7600; 40,3400
train_deeplabv3plus_baseline_seed_42_depth_0_channel_3_sparsity_0,6; acdc_night; 52,6700; 12,1100; 20,7900
train_deeplabv3plus_baseline_seed_42_depth_0_channel_3_sparsity_0,6; dark_zurich; 15,6300; 4,2000; 11,4100
train_deeplabv3plus_baseline_seed_42_depth_0_channel_3_sparsity_0,6; cityscapes; 92,1600; 59,1100; 70,4000
train_deeplabv3plus_baseline_seed_42_depth_0_channel_3_sparsity_0,6; acdc_rain; 74,4900; 24,2700; 35,2100
train_deeplabv3plus_baseline_seed_42_depth_0_channel_3_sparsity_0,6; acdc_snow; 63,8600; 24,4300; 35,3000
train_deeplabv3plus_baseline_seed_42_depth_0_channel_3_sparsity_0,6; acdc_fog; 68,8500; 24,8400; 36,0600
train_deeplabv3plus_baseline_seed_42_depth_0_channel_3_sparsity_0,6; acdc_full; 59,1800; 17,3500; 32,6300
train_deeplabv3plus_baseline_seed_42_depth_0_channel_3_sparsity_0,8; acdc_night; 56,5500; 18,0000; 30,4200
train_deeplabv3plus_baseline_seed_42_depth_0_channel_3_sparsity_0,8; dark_zurich; 38,7500; 8,3600; 20,8800
train_deeplabv3plus_baseline_seed_42_depth_0_channel_3_sparsity_0,8; cityscapes; 89,1900; 47,9100; 58,8600
train_deeplabv3plus_baseline_seed_42_depth_0_channel_3_sparsity_0,8; acdc_rain; 74,9700; 25,5800; 35,4500
train_deeplabv3plus_baseline_seed_42_depth_0_channel_3_sparsity_0,8; acdc_snow; 66,0600; 23,3300; 38,0300
train_deeplabv3plus_baseline_seed_42_depth_0_channel_3_sparsity_0,8; acdc_fog; 70,9900; 24,8500; 38,1600
train_deeplabv3plus_baseline_seed_42_depth_0_channel_3_sparsity_0,8; acdc_full; 56,9000; 15,0700; 23,5300
train_deeplabv3plus_baseline_seed_42_depth_0_channel_3_sparsity_0,9; acdc_night; 38,0800; 8,4300; 16,5400
train_deeplabv3plus_baseline_seed_42_depth_0_channel_3_sparsity_0,9; dark_zurich; 35,0900; 6,6200; 17,8800
train_deeplabv3plus_baseline_seed_42_depth_0_channel_3_sparsity_0,9; cityscapes; 84,2200; 39,6000; 49,5800
train_deeplabv3plus_baseline_seed_42_depth_0_channel_3_sparsity_0,9; acdc_rain; 65,4900; 18,5300; 30,9400
train_deeplabv3plus_baseline_seed_42_depth_0_channel_3_sparsity_0,9; acdc_snow; 65,0900; 21,1000; 36,4800
train_deeplabv3plus_baseline_seed_42_depth_0_channel_3_sparsity_0,9; acdc_fog; 64,8700; 20,3600; 31,7000
train_deeplabv3plus_baseline_seed_42_depth_0_channel_3_sparsity_0,9; acdc_full; 47,8600; 10,3500; 16,3500
train_deeplabv3plus_baseline_seed_42_depth_0_channel_3_sparsity_0,5; acdc_night; 45,6800; 10,3900; 17,8600
train_deeplabv3plus_baseline_seed_42_depth_0_channel_3_sparsity_0,5; dark_zurich; 11,1100; 3,2800; 8,3600
train_deeplabv3plus_baseline_seed_42_depth_0_channel_3_sparsity_0,5; cityscapes; 91,0700; 56,4600; 70,4500
train_deeplabv3plus_baseline_seed_42_depth_0_channel_3_sparsity_0,5; acdc_rain; 67,7400; 20,5200; 30,4700
train_deeplabv3plus_baseline_seed_42_depth_0_channel_3_sparsity_0,5; acdc_snow; 51,3200; 21,2800; 31,1000
train_deeplabv3plus_baseline_seed_42_depth_0_channel_3_sparsity_0,5; acdc_fog; 55,6100; 22,7000; 32,9100
train_deeplabv3plus_baseline_seed_42_depth_0_channel_3_sparsity_0,5; acdc_full; 55,8800; 17,8000; 31,4900
train_deeplabv3plus_baseline_seed_42_depth_0_channel_3_sparsity_0,7; acdc_night; 45,0900; 11,7300; 22,4500
train_deeplabv3plus_baseline_seed_42_depth_0_channel_3_sparsity_0,7; dark_zurich; 27,2900; 5,8700; 12,6200
train_deeplabv3plus_baseline_seed_42_depth_0_channel_3_sparsity_0,7; cityscapes; 90,2200; 49,9400; 61,0500
train_deeplabv3plus_baseline_seed_42_depth_0_channel_3_sparsity_0,7; acdc_rain; 58,6600; 16,0400; 23,0900
train_deeplabv3plus_baseline_seed_42_depth_0_channel_3_sparsity_0,7; acdc_snow; 55,9900; 20,3700; 31,2400
train_deeplabv3plus_baseline_seed_42_depth_0_channel_3_sparsity_0,7; acdc_fog; 58,8200; 16,0200; 24,3900
train_deeplabv3plus_baseline_seed_42_depth_0_channel_3_sparsity_0,7; acdc_full; 55,7200; 14,6600; 26,4000
train_deeplabv3plus_baseline_seed_7_depth_0_channel_3_sparsity_0,6; acdc_night; 41,9400; 10,6900; 17,4100
train_deeplabv3plus_baseline_seed_7_depth_0_channel_3_sparsity_0,6; dark_zurich; 24,9600; 5,8600; 11,0400
train_deeplabv3plus_baseline_seed_7_depth_0_channel_3_sparsity_0,6; cityscapes; 91,2600; 56,1200; 69,5900
train_deeplabv3plus_baseline_seed_7_depth_0_channel_3_sparsity_0,6; acdc_rain; 66,0400; 20,1100; 28,3400
train_deeplabv3plus_baseline_seed_7_depth_0_channel_3_sparsity_0,6; acdc_snow; 60,2600; 23,7800; 33,8000
train_deeplabv3plus_baseline_seed_7_depth_0_channel_3_sparsity_0,6; acdc_fog; 62,5900; 23,9200; 33,1800
train_deeplabv3plus_baseline_seed_7_depth_0_channel_3_sparsity_0,6; acdc_full; 61,0300; 19,4100; 32,8600
train_deeplabv3plus_baseline_seed_7_depth_0_channel_3_sparsity_0,5; acdc_night; 37,9700; 8,8200; 16,0900
train_deeplabv3plus_baseline_seed_7_depth_0_channel_3_sparsity_0,5; dark_zurich; 25,5800; 6,3600; 14,4800
